No.,Paper Title,Authors,Publication,Year
1,Deep Learning for Marine Mammal Acoustic Classification,"J. Salamon, J. P. Bello",IEEE Journal of Oceanic Engineering,2019
2,Real-Time Marine Mammal Detection Using Embedded Deep Learning,"L. Zhang, M. Johnson",IEEE Sensors Journal,2019
3,Automatic Classification of Whale Calls Using Convolutional Neural Networks,"S. Patel, R. Gupta",IEEE Transactions on Audio, Speech, and Language Processing,2020
4,Underwater Acoustic Signal Classification Based on Deep Residual Networks,"R. Gupta, K. Lee",IEEE Access,2020
5,Marine Bioacoustic Signal Classification Using Transfer Learning,"A. Kumar, F. P. Ferri",IEEE Access,2021
6,Embedded Deep Learning for Environmental Acoustic Monitoring,"Y. Chen et al.",IEEE Embedded Systems Letters,2020
7,Passive Acoustic Monitoring of Cetaceans Using Deep Neural Networks,"M. Johnson et al.",IEEE Journal of Oceanic Engineering,2019
8,Acoustic Scene Classification for Underwater Environments Using CNNs,"T. Heittola et al.",ICASSP Conference Proceedings,2018
9,Feature Extraction and Classification of Marine Mammal Sounds Using CNNs,"K. Lee et al.",IEEE Transactions on Neural Networks and Learning Systems,2020
10,Deep Feature Learning for Underwater Acoustic Signal Classification,"K. Lee et al.",IEEE Transactions on Neural Networks and Learning Systems,2020
11,Real-Time Acoustic Monitoring of Marine Mammals on Embedded Systems,"J. Miksis-Olds et al.",IEEE OCEANS Conference,2015
12,Deep Learning-Based Acoustic Signal Classification for Marine Mammals,"J. Smith et al.",IEEE Access,2020
13,Transfer Learning for Marine Bioacoustic Signal Classification,"A. Kumar et al.",IEEE Access,2021
14,Low-Power Embedded Systems for Real-Time Bioacoustic Monitoring,"J. Salamon et al.",IEEE Sensors,2019
15,Acoustic Detection of Marine Mammals Using Deep Neural Networks,"M. Johnson et al.",IEEE Journal of Oceanic Engineering,2019
16,CNN-Based Automatic Classification of Whale Calls,"S. Patel et al.",IEEE Transactions on Audio, Speech, and Language Processing,2020
17,Underwater Acoustic Signal Classification Using Deep Residual Networks,"R. Gupta et al.",IEEE Access,2020
18,Edge AI for Marine Mammal Acoustic Monitoring,"F. P. Ferri et al.",Frontiers in AI (IEEE Collaborations),2021
19,Marine Mammal Acoustic Detection Using Deep Neural Networks,"M. Johnson et al.",IEEE Journal of Oceanic Engineering,2019
20,Deploying Deep Learning Models on Edge Devices for Acoustic Monitoring,"J. Lane et al.",IEEE Access,2020
21,Deep Learning for Sound Event Detection in Underwater Environments,"T. Virtanen et al.",IEEE Transactions on Audio, Speech, and Language Processing,2019
22,Marine Mammal Acoustic Monitoring Using Embedded Systems,"J. C. Gervaise et al.",Frontiers in Marine Science,2022
23,CNNs for Bioacoustic Signal Classification,"M. Stowell et al.",IEEE Access,2019
24,Real-Time Underwater Acoustic Signal Classification on Embedded Systems,"L. Zhang et al.",IEEE Sensors Journal,2019
25,Acoustic Scene Classification Using Deep Learning,"T. Heittola et al.",ICASSP,2018
